Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,CouncilName
G      ,2653,2019,23,1,12/29/2019 ,12/28/2019    ,8,None            ,0.00                          ,600.00                            ,0.00                        ,"2,300.00            ",163.0,15.0,47.0,57.0,17.0,57.0,0.0,8.0,47.0,111.0,17.0,22.0,6.0,0.0,0.0,167.0,19.0,0.0,0.0,185.0,53.0,0.0,56.0,31.0,3987.0,17N,Yerba Buena                                  
G      ,3417,2022,23,1,12/23/2022 ,12/22/2022    ,9,None            ,"2,388.00                    ","4,702.00                        ","4,700.00                  ","1,461.00            ",184.0,38.0,57.0,45.0,20.0,84.0,1.0,8.0,75.0,100.0,20.0,24.0,7.0,3.0,4.0,170.0,31.0,44.0,0.0,247.0,111.0,50.0,61.0,18.0,8000.0,17N,Yerba Buena                                  
G      ,2936,2020,23,1,12/30/2020 ,12/29/2020    ,8,None            ,0.00                          ,0.00                              ,"3,350.00                  ",0.00                  ,90.0,11.0,37.0,23.0,15.0,50.0,2.0,8.0,45.0,16.0,3.0,0.0,0.0,6.0,2.0,122.0,11.0,0.0,0.0,145.0,29.0,0.0,30.0,6.0,273.0,17N,Yerba Buena                                  
G      ,3631,2023,23,1,12/20/2023 ,12/19/2023    ,17,Thriving        ,"15,000.00                   ",0.00                              ,"2,565.00                  ",929.00                ,211.0,29.0,62.0,52.0,17.0,82.0,1.0,7.0,73.0,169.0,30.0,35.0,11.0,4.0,7.0,283.0,26.0,88.0,4.0,229.0,115.0,34.0,82.0,37.0,8081.0,17N,Yerba Buena                                  
G      ,3130,2021,23,1,12/18/2021 ,12/17/2021    ,22,High Performing ,"6,639.00                    ","12,457.00                       ",0.00                        ,0.00                  ,237.0,33.0,55.0,49.0,25.0,108.0,3.0,10.0,88.0,157.0,14.0,38.0,15.0,9.0,5.0,170.0,7.0,24.0,5.0,249.0,131.0,79.0,52.0,92.0,7660.0,17N,Yerba Buena                                  
G      ,2638,2019,35,1,12/27/2019 ,12/26/2019    ,17,Thriving        ,"1,050.00                    ",14.00                             ,0.00                        ,0.00                  ,40.0,10.0,4.0,20.0,8.0,5.0,0.0,2.0,17.0,30.0,1.0,10.0,1.0,1.0,1.0,33.0,1.0,0.0,0.0,25.0,11.0,0.0,11.0,0.0,1550.0,17N,Talako                                       
G      ,2956,2020,35,1,12/31/2020 ,12/30/2020    ,17,Thriving        ,602.00                        ,0.00                              ,0.00                        ,0.00                  ,25.0,4.0,4.0,19.0,11.0,5.0,0.0,0.0,18.0,14.0,1.0,7.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,21.0,11.0,3.0,11.0,11.0,438.0,17N,Talako                                       
G      ,3201,2021,35,1,12/28/2021 ,12/27/2021    ,20,Thriving        ,"1,000.00                    ",0.00                              ,0.00                        ,0.00                  ,31.0,6.0,6.0,13.0,7.0,6.0,0.0,3.0,21.0,18.0,1.0,3.0,0.0,3.0,2.0,22.0,1.0,0.0,0.0,21.0,11.0,3.0,11.0,11.0,550.0,17N,Talako                                       
G      ,3747,2023,35,1,1/1/2024   ,12/31/2023    ,24,High Performing ,0.00                          ,0.00                              ,0.00                        ,"1,000.00            ",24.0,5.0,4.0,25.0,9.0,8.0,0.0,2.0,17.0,19.0,1.0,14.0,3.0,1.0,2.0,22.0,1.0,9.0,0.0,18.0,14.0,2.0,14.0,13.0,587.0,17N,Talako                                       
G      ,3430,2022,35,1,12/24/2022 ,12/24/2022    ,19,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"3,000.00            ",26.0,0.0,7.0,16.0,9.0,8.0,0.0,2.0,17.0,18.0,3.0,10.0,2.0,1.0,1.0,27.0,3.0,1.0,0.0,20.0,11.0,1.0,11.0,16.0,702.0,17N,Talako                                       
